code,LAU_NAME,dist_km,neighbour,band,pop,fuel,large_food,non_food,small_food,est24,emp24,emp12,est12,emp24_big,tobacconists
54338,Malleloy,58.94915267419612,Germany,50–75,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
54339,Malzéville,63.22797107602282,Germany,50–75,7820.0,2.0,1.0,12.0,6.0,9.0,84.0,23.0,6.0,58.0,1.0
54340,Mamey,63.496519360739384,Luxembourg,50–75,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55017,Autrécourt-sur-Aire,57.7455140652121,Belgium,50–75,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55018,Autréville-Saint-Lambert,13.683880705404823,Belgium,10–20,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55021,Avillers-Sainte-Croix,50.729611533884935,Luxembourg,50–75,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55022,Avioth,3.5289091659892846,Belgium,0–10,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55023,Avocourt,40.321085736685355,Belgium,30–50,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55024,Azannes-et-Soumazannes,23.14840358708307,Belgium,20–30,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55025,Baâlon,14.85362240118781,Belgium,10–20,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55026,Badonvilliers-Gérauvilliers,105.53166479813981,Luxembourg,,126.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
55027,Bannoncourt,60.304606617224366,Belgium,50–75,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55028,Bantheville,32.39272074449184,Belgium,30–50,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55029,Bar-le-Duc,84.17669314675105,Belgium,75–100,14607.0,2.0,5.0,83.0,39.0,95.0,655.0,602.0,105.0,259.0,10.0
55031,Baudonvilliers,96.12448587661909,Belgium,75–100,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55032,Baudrémont,73.82875143318421,Belgium,50–75,44.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55033,Baulny,41.627710081197954,Belgium,30–50,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55034,Bazeilles-sur-Othain,2.5674666059878035,Belgium,0–10,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
